Sigfox;Serial;No;Pac;RTS;Serial;No
00C3CB3E;72513664639AD795;0000001221135246;null;16;IceMeter;Pulse
00C3CC8D;57DAAE60A7A4F957;0000001121134071;null;59;IceMeter;Pulse
00C3CC95;DC24A0E6A4BBE684;0000001221134398;null;47;IceMeter;Pulse
00C3CC96;F0B7EFF9588875F2;0000001221134563;null;53;IceMeter;Pulse
00C3CC97;A93DDF6F039A563B;0000001021130345;null;8;IceMeter;Pulse
00C3CCA3;2E1588DBB1B2DF2E;0000001321136309;null;69;IceMeter;Pulse
00C3CCA5;5D065E046AFA9031;0000001021130348;null;19;IceMeter;Pulse
00C3CCC4;9989B2B09CE80E86;0000001321136407;null;46;IceMeter;Pulse
00C3CCC7;7EE421218BE6CD56;0000001121132388;null;40;IceMeter;Pulse
00C3CCCA;91A2D465E7F14401;0000001121132913;null;21;IceMeter;Pulse
00C3CD3A;CC5DC34930995453;0000001121134224;null;53;IceMeter;Pulse
00C3CD41;AB4C75B8A55950F3;0000001121132434;null;39;IceMeter;Pulse
00C3CD46;9A354F71B94D48D4;0000000921128847;null;6;IceMeter;Pulse
00C3CD52;E6D32325721D4BDE;0000001121132441;null;24;IceMeter;Pulse
00C3CE10;70C8CC423B29831A;0000001121133642;null;47;IceMeter;Pulse
00C3CE11;254CB6D9C09C6508;0000001121133784;null;80;IceMeter;Pulse
00C3CEE7;8D908A13B3F9299E;0000001021130281;null;68;IceMeter;Pulse
00C3CEED;9582D04577B68082;0000001121134198;null;76;IceMeter;Pulse
00C3CEF0;B43354797C68320C;0000001121134088;null;58;IceMeter;Pulse
00C3CEF6;9DDCA8DEB4339496;0000001121134221;null;80;IceMeter;Pulse
00C3CEF9;A4C47B2C1F015C0B;0000001021130276;null;77;IceMeter;Pulse
00C3CEFB;EFCDF27F17F6B1E3;0000001021130278;null;73;IceMeter;Pulse
00C3CFE4;82450E4A763466B7;0000001021130939;null;50;IceMeter;Pulse
00C3D050;72693E1EBBC3E9CF;0000001121132748;null;76;IceMeter;Pulse
00C3D056;A25EE23704B964DD;0000001221134499;null;50;IceMeter;Pulse
00C3D1F6;179D20992005C7EC;0000001221134519;null;36;IceMeter;Pulse
00C3D252;30A2DD88F8357841;0000001021131296;null;21;IceMeter;Pulse
00C3D27F;C6A2DABDCB6ACF1F;0000001021130328;null;35;IceMeter;Pulse
00C3D280;6D6E327386BC9D83;0000001121132470;null;27;IceMeter;Pulse
00C3D281;614291FC9A509058;0000001021130359;null;14;IceMeter;Pulse
00C3D283;651872717EAA8BFB;0000001121134057;null;60;IceMeter;Pulse
00C3D285;3D2594ACDC3077B3;0000001121134054;null;60;IceMeter;Pulse
00C3D31B;DAF1C51E03FC8700;0000001121132464;null;78;IceMeter;Pulse
00C3D31D;31C16F6DBBC651B5;0000001121133236;null;66;IceMeter;Pulse
00C3D320;616ADECEC20E5579;0000001121132509;null;76;IceMeter;Pulse
00C3D321;97D729B4FDE066B0;0000001121132468;null;40;IceMeter;Pulse
00C3D32E;80CC234F6E0E4484;0000001121132517;null;79;IceMeter;Pulse
00C3D332;5A2EDF6ADA3D91EC;0000001121134160;null;25;IceMeter;Pulse
00C3D33A;2C4C5F08EB400DC0;0000001121132819;null;69;IceMeter;Pulse
00C3D3CB;50342D745ED82075;0000001221134426;null;54;IceMeter;Pulse
00C3D3E2;BFD3B2D83B4EDD76;0000001121134091;null;58;IceMeter;Pulse
00C3D456;A4486F96B7E26C87;0000001321136185;null;10;IceMeter;Pulse
00C3D45A;96D3E56129B0F753;0000001121132465;null;48;IceMeter;Pulse
00C3D461;7FC9A6160DC908FD;0000001321136152;null;9;IceMeter;Pulse
00C3D465;33660636FFBB70A2;0000001021130933;null;74;IceMeter;Pulse
00C3D99D;C8E25EBCC1D97B89;0000001021130924;null;77;IceMeter;Pulse
00C3DD0A;2DCA3D9D666B1802;0000001221135157;null;22;IceMeter;Pulse
00C3DD10;6BB2CFE48377A99C;0000001121132685;null;56;IceMeter;Pulse
00C3DE54;F1D0BFE486A8C065;0000001221134465;null;53;IceMeter;Pulse
00C3DE5B;B07D2D33FC1F0915;0000001321136286;null;33;IceMeter;Pulse
00C3DE65;E5AE8E459C82F800;0000001121133185;null;66;IceMeter;Pulse
00C3DE70;ED8CA34B4D553D12;0000001121133368;null;78;IceMeter;Pulse
00C3DE73;CD0DCB40AF93F605;0000001021130220;null;23;IceMeter;Pulse
00C3E7C5;4717DB35FE323C43;0000001021130289;null;73;IceMeter;Pulse
00C3E7C6;0A3A5A116C0850CE;0000001121134284;null;19;IceMeter;Pulse
00C3E7C7;C343883FF6AEAE7F;0000001121132741;null;22;IceMeter;Pulse
00C3E7C9;53E266A3DFD5014C;0000001121134151;null;73;IceMeter;Pulse
00C3E7CA;971728C17985C077;0000001221134500;null;36;IceMeter;Pulse
00C3E7CD;CBF12E262693B2D4;0000001221134528;null;10;IceMeter;Pulse
00C3E7D0;8A397D4DB2C86DD1;0000001221134524;null;11;IceMeter;Pulse
00C3E7D1;1B2EC6FFA289CC95;0000001221134393;null;39;IceMeter;Pulse
00C3E7D5;63723169A5E59450;0000001021130293;null;79;IceMeter;Pulse
00C3E7D7;0BA8F3C4DEA9B740;0000001121134283;null;11;IceMeter;Pulse
00C3E7DA;DFA7A089ACAE6A78;0000001121132824;null;68;IceMeter;Pulse
00C3E7DD;DB8487A41F9FE279;0000001221134400;null;55;IceMeter;Pulse
00C3E7E9;DD574B3B1567FF62;0000001221134431;null;39;IceMeter;Pulse
00C3E7EB;AF9116D3171CDD7C;0000001221134922;null;16;IceMeter;Pulse
00C3E7ED;67F57431EF33C23E;0000001021130005;null;57;IceMeter;Pulse
00C3E7EE;E4301C6006FDD7B1;0000001221134523;null;9;IceMeter;Pulse
00C3E7F2;C588DE465F46313E;0000001221134559;null;71;IceMeter;Pulse
00C3E7F9;95599515C28C3F63;0000001221134518;null;57;IceMeter;Pulse
00C3E805;C2A6345035514FD3;0000001221134445;null;75;IceMeter;Pulse
00C3FA49;CE7EBA39621A5725;0000001621143317;null;74;IceMeter;Pulse
00C47888;97C7E64266A705BB;0000001421137300;null;27;IceMeter;Pulse
00C47A62;B281FAD26E4B7195;0000001421137723;null;16;IceMeter;Pulse
00C47A6B;303B3DA91443DBD8;0000001421136685;null;79;IceMeter;Pulse
00C4804A;22423950552B925E;0000001021130727;null;59;IceMeter;Pulse
00C4809F;F998137828072E0F;0000001421137346;null;54;IceMeter;Pulse
00C480A9;396E664EB0CA9430;0000001421137164;null;7;IceMeter;Pulse
00C482EA;20A0C3246F8D546F;0000001421137657;null;38;IceMeter;Pulse
00C484FC;2E5D45D15FA30C39;0000001421137739;null;14;IceMeter;Pulse
00C484FD;68D1874B8B73D2F7;0000001421137623;null;15;IceMeter;Pulse
00C4850A;223FB549834737C0;0000001421137160;null;7;IceMeter;Pulse
00C489A6;720479C57419786C;0000001421137743;null;20;IceMeter;Pulse
00C48BAA;B3A4D10A4EC9FF22;0000001421137733;null;16;IceMeter;Pulse
00C48BDB;7A4E779E70393FE1;0000001421137471;null;47;IceMeter;Pulse
00C48DD8;7EDFC627FBDD6A4B;0000001421137731;null;15;IceMeter;Pulse
00C4903A;A2CAD46335246FF2;0000001421137290;null;45;IceMeter;Pulse
00C49D26;A830807DDB8B8754;0000001421137720;null;50;IceMeter;Pulse
00C49F8B;7AB367DF4180130E;0000001021130765;null;60;IceMeter;Pulse
00C4A185;B8F2840FD2672E44;0000001421136591;null;75;IceMeter;Pulse
00C4A1B5;78E3FF9089571A43;0000001221135351;null;69;IceMeter;Pulse
00C4A1C5;808CA1EDAF8E2FCA;0000001221135275;null;20;IceMeter;Pulse
00C4A298;6EA36F4E5BA7AA64;0000000621120515;null;6;IceMeter;Pulse
00C4A3ED;CBA9BC708366DB42;0000001421136896;null;18;IceMeter;Pulse
00C4A3F5;582FA90785423111;0000001421137383;null;67;IceMeter;Pulse
00C4A5D1;C71DD2E8B001BF2D;0000001421137746;null;39;IceMeter;Pulse
00C4A5D2;8AAB0F4C0C25BDD2;0000001421136600;null;75;IceMeter;Pulse
00C4A5DF;417D1E4B10877DD3;0000001421137698;null;34;IceMeter;Pulse
00C4A636;B62959A6C9B9A300;0000001421137420;null;52;IceMeter;Pulse
00C4AA57;D914E40608DAD9DD;0000001421137745;null;13;IceMeter;Pulse
00C4AA5C;7A5F4A8CF54FAF30;0000001421137742;null;14;IceMeter;Pulse
00C4AAB4;95A3FBE528147255;0000001421137301;null;15;IceMeter;Pulse
00C4ACCF;E9AD3AA701124FD2;0000001421137352;null;20;IceMeter;Pulse
00C4B0E4;66EAED5EE45A5A19;0000001421137715;null;52;IceMeter;Pulse
00C4B0EE;2FCFA4FCF8138607;0000001421137749;null;54;IceMeter;Pulse
00C4B2E6;E724F67424A1985F;0000001621143360;null;48;IceMeter;Pulse
00C4B315;A968A0C1BD745159;0000001421137747;null;12;IceMeter;Pulse
00C4B775;A1BC9566EEB52CE7;0000001421137174;null;14;IceMeter;Pulse
00C4B89D;01392EBFDB5843BB;0000000621120506;null;8;IceMeter;Pulse
00C4B9B9;C0046F9E37C6EDFC;0000001421137744;null;13;IceMeter;Pulse
00C4BBCF;9EE70CC50219872C;0000001421137741;null;8;IceMeter;Pulse
00C4BDEE;82AA9A84BC1C2BFB;0000001421137255;null;36;IceMeter;Pulse
00C4BDF0;CFCD1E30A311F198;0000001621143513;null;47;IceMeter;Pulse
00C4BDF5;B63F3C0AC3AC2579;0000001621143507;null;56;IceMeter;Pulse
00C4BDF7;EE7E07F391C297FB;0000001621143448;null;79;IceMeter;Pulse
00C4BDFA;68380DCD778B13C7;0000001621143525;null;57;IceMeter;Pulse
00C4C013;5397036D9050C44C;0000001621143505;null;49;IceMeter;Pulse
00C4C02A;A3E2A303E5920992;0000001421137155;null;22;IceMeter;Pulse
00C4C245;94A79A7DE2A6B181;0000001621143385;null;75;IceMeter;Pulse
00C4C6B2;1E23C8895BDE4E35;0000001421137510;null;9;IceMeter;Pulse
00C4D362;BCC09365B4D07866;0000001621143506;null;38;IceMeter;Pulse
00C4D371;B92724801B3EAF95;0000001621143512;null;39;IceMeter;Pulse
00C4D53C;2C9D3A16AA762514;0000001621143499;null;27;IceMeter;Pulse
00C4D540;252AAA1FC4A6D4A1;0000001421137314;null;66;IceMeter;Pulse
00C4D548;3DE2DE7FAC6C2B81;0000001621143511;null;37;IceMeter;Pulse
00C4D557;BCE766BEE328C1A7;0000001421137075;null;68;IceMeter;Pulse
00C4D748;5BB4543EA070CC03;0000001421137348;null;45;IceMeter;Pulse
00C4D74E;C219BC8FF3B696DC;0000001421137253;null;33;IceMeter;Pulse
00C4D98D;CAB25A7ADD449BFC;0000001621143440;null;79;IceMeter;Pulse
00C4D995;3CC144FB9AD51E88;0000001621143509;null;52;IceMeter;Pulse
00C4D997;B604FAF60FBE8E7E;0000001621143503;null;49;IceMeter;Pulse
00C4D998;1C429EDAE7F5ACAC;0000001621143541;null;40;IceMeter;Pulse
00C4D99A;DE05F49507B07A0C;0000001621143461;null;66;IceMeter;Pulse
00C4D9AD;BF46CB2201113D4A;0000001621143409;null;77;IceMeter;Pulse
00C4D9E3;C0E01AF1BF337378;0000001621143457;null;71;IceMeter;Pulse
00C4D9E9;F23232EE985AABF7;0000001421137153;null;14;IceMeter;Pulse
00C4D9F1;CC7FDB945DC28B24;0000001621143538;null;67;IceMeter;Pulse
00C4DA4F;7D96D8184E0F95BE;0000001621143374;null;67;IceMeter;Pulse
00C4DAE9;4A6C484B8AA12A81;0000001621143451;null;78;IceMeter;Pulse
00C4DB88;D317B529CA7DD091;0000001421137347;null;45;IceMeter;Pulse
00C4DB8D;F3A40DD2B8F84711;0000001421137268;null;13;IceMeter;Pulse
00C4DB9D;E416DDDA386E4C99;0000001421137261;null;15;IceMeter;Pulse
00C4DD5A;17FCBA5572014903;0000001421137405;null;40;IceMeter;Pulse
00C4DE6C;38EF985D37CC1FE5;0000001621143373;null;79;IceMeter;Pulse
00C4E0FD;B9114B2A16197E5B;0000001421137489;null;72;IceMeter;Pulse
00C4EFFE;C6C6F301A452ADD6;0000001421137478;null;3;IceMeter;Pulse
00C4F1B3;070FEFD5D0AAF9AB;0000000521118327;null;5;IceMeter;Pulse
00C4F6B8;82A666D982F86517;0000001421137676;null;53;IceMeter;Pulse
00C4F76B;964D26E125EEC649;0000001421137678;null;50;IceMeter;Pulse
00C4F7DA;CE321F9BC4FBC04D;0000001421137750;null;35;IceMeter;Pulse
00C4F7E1;035BFE9CFC6C6E25;0000001421137147;null;33;IceMeter;Pulse
00C4F9EC;50C1AB934D8CF8C1;0000001021130725;null;60;IceMeter;Pulse
00C4FA23;0B998F65B4568AC6;0000001621143359;null;68;IceMeter;Pulse
00C50354;7517EC44CECE7393;0000001221134715;null;15;IceMeter;Pulse
00C50355;C351FF465336D408;0000001221134599;null;76;IceMeter;Pulse
00C503C4;F2F7794DE257E441;0000001421136652;null;70;IceMeter;Pulse
00C50604;72E5D3F62D141BDE;0000001421137663;null;59;IceMeter;Pulse
00C50608;95D8EF276C207D82;0000001421136559;null;63;IceMeter;Pulse
00C50837;D9B55980E71C40A5;0000001421137674;null;52;IceMeter;Pulse
00C509E4;3DBF3BFC6019986F;0000001221134598;null;36;IceMeter;Pulse
00C509E6;197C579D73BE7D43;0000001321136373;null;27;IceMeter;Pulse
00C509E8;063E7F103DC122DE;0000001321136354;null;40;IceMeter;Pulse
00C50A5C;9CDE370F50EA5940;0000001421136624;null;57;IceMeter;Pulse
00C50A60;C65A91A4AC178A84;0000001421136674;null;77;IceMeter;Pulse
00C50A62;03D68A246DE34C5D;0000001421136618;null;73;IceMeter;Pulse
00C50C78;40A7E52DB1BCAC68;0000001421136645;null;65;IceMeter;Pulse
00C50C79;CFDCB5D583054AD3;0000001421136757;null;34;IceMeter;Pulse
00C50C84;F3B06FCDE596BCF2;0000001421136671;null;68;IceMeter;Pulse
00C50C85;C18B9DEDA13D4EC9;0000001421136616;null;68;IceMeter;Pulse
00C50C86;6E59CA3E28F050E1;0000001421136587;null;74;IceMeter;Pulse
00C50C89;2C8FA6B8A63DB784;0000001421136670;null;67;IceMeter;Pulse
00C50EAD;994F91A71CE300F1;0000001421136651;null;75;IceMeter;Pulse
00C50EB7;650032114133AAD9;0000001421136755;null;49;IceMeter;Pulse
00C50EBC;FE2A6F5328FBF98B;0000001421136649;null;73;IceMeter;Pulse
00C519A8;4974DDEAFB4A12C8;0000001421137221;null;21;IceMeter;Pulse
00C51C81;6B67D8CF3D6C474D;0000000621120656;null;5;IceMeter;Pulse
00C52B36;7F1BF5A749B855FA;0000001421137238;null;23;IceMeter;Pulse
00C52E63;13CACFA2696CEB4F;0000000621121415;null;15;IceMeter;Pulse
00C535A5;853F86164CC79BA2;0000001321136431;null;46;IceMeter;Pulse
00C535A9;8F6227F061C430DD;0000000621120240;null;7;IceMeter;Pulse
